date,type,category,amount,description
2024-01-04,expense,Utilities,2819.62,Sample expense for Utilities
2024-04-25,income,Salary,14239.92,Sample income for Salary
2024-02-17,expense,Food,4165.1,Sample expense for Food
2024-05-30,income,Investment Return,29224.64,Sample income for Investment Return
2024-05-20,expense,Healthcare,3340.6,Sample expense for Healthcare
2024-01-18,income,Bonus,23582.59,Sample income for Bonus
2024-02-24,expense,Rent,4916.75,Sample expense for Rent
2024-03-12,expense,Transport,3122.34,Sample expense for Transport
2024-04-06,income,Freelance,10834.38,Sample income for Freelance
2024-05-11,expense,Education,4298.53,Sample expense for Education
2024-06-15,income,Salary,22376.52,Sample income for Salary
2024-02-01,expense,Shopping,4981.8,Sample expense for Shopping
2024-06-21,income,Investment Return,21457.69,Sample income for Investment Return
2024-03-05,expense,Food,2076.97,Sample expense for Food
2024-04-27,expense,Entertainment,4651.22,Sample expense for Entertainment
2024-07-01,income,Salary,29519.67,Sample income for Salary
2024-01-14,expense,Utilities,4029.87,Sample expense for Utilities
2024-04-17,expense,Healthcare,2167.38,Sample expense for Healthcare
2024-06-01,expense,Transport,3627.15,Sample expense for Transport
2024-02-12,income,Bonus,27831.26,Sample income for Bonus
2024-03-23,expense,Food,3975.92,Sample expense for Food
2024-05-05,income,Freelance,14621.15,Sample income for Freelance
2024-07-13,expense,Education,2844.77,Sample expense for Education
2024-02-06,expense,Rent,4821.46,Sample expense for Rent
2024-01-20,expense,Shopping,3149.69,Sample expense for Shopping
2024-06-11,income,Investment Return,20687.37,Sample income for Investment Return
2024-03-10,expense,Entertainment,3231.28,Sample expense for Entertainment
2024-01-30,expense,Utilities,4682.35,Sample expense for Utilities
2024-04-20,expense,Healthcare,3286.59,Sample expense for Healthcare
2024-02-16,income,Salary,21594.76,Sample income for Salary
2024-06-26,expense,Food,2652.44,Sample expense for Food
2024-05-09,income,Bonus,27845.11,Sample income for Bonus
2024-03-19,expense,Rent,4890.63,Sample expense for Rent
2024-06-05,expense,Transport,2541.89,Sample expense for Transport
2024-01-22,income,Freelance,14029.56,Sample income for Freelance
2024-02-27,expense,Education,4973.74,Sample expense for Education
2024-07-04,expense,Shopping,1997.44,Sample expense for Shopping
2024-04-11,income,Salary,25673.2,Sample income for Salary
2024-03-03,expense,Entertainment,3235.68,Sample expense for Entertainment
2024-01-10,expense,Utilities,2493.56,Sample expense for Utilities
2024-07-09,income,Investment Return,29129.41,Sample income for Investment Return
2024-06-18,expense,Healthcare,2410.29,Sample expense for Healthcare
2024-05-25,expense,Food,1862.87,Sample expense for Food
2024-03-07,income,Bonus,24458.67,Sample income for Bonus
2024-01-26,expense,Rent,4094.75,Sample expense for Rent
2024-07-14,expense,Transport,3672.18,Sample expense for Transport
2024-02-04,income,Freelance,15897.83,Sample income for Freelance
2024-05-16,expense,Education,3161.91,Sample expense for Education
2024-06-28,income,Salary,22983.65,Sample income for Salary
2024-04-23,expense,Shopping,2977.13,Sample expense for Shopping
2024-02-10,expense,Entertainment,2243.96,Sample expense for Entertainment
2024-01-06,expense,Utilities,3792.41,Sample expense for Utilities
2024-05-02,expense,Healthcare,2041.76,Sample expense for Healthcare
2024-03-15,income,Investment Return,21846.79,Sample income for Investment Return
2024-07-07,expense,Food,3896.17,Sample expense for Food
2024-02-20,income,Bonus,18027.94,Sample income for Bonus
2024-04-03,expense,Rent,4531.34,Sample expense for Rent
2024-03-27,expense,Transport,3659.18,Sample expense for Transport
2024-06-08,income,Freelance,19162.42,Sample income for Freelance
2024-05-13,expense,Education,3771.63,Sample expense for Education
2024-02-14,expense,Shopping,4863.97,Sample expense for Shopping
2024-06-03,income,Salary,25915.53,Sample income for Salary
2024-04-13,expense,Entertainment,1895.63,Sample expense for Entertainment
2024-07-11,expense,Utilities,3273.84,Sample expense for Utilities
2024-01-08,income,Investment Return,29566.93,Sample income for Investment Return
